"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"airportd","410","0","0","0","0","0","/usr/libexec/airportd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3088","0",,"False",,,"410",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"410",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (airportd)","0","","True","airportd",,,,,
"akd","1","0","437204058112","10371072","0","0","/System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd","",,,"0.1724833",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3128","0",,"False","10/09/2025 11:53:13 AM",,"825",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","437204058112","-882606080","False",,,,"10371072","10371072",,"System.Diagnostics.ProcessModule (akd)","0","","True","akd","00:00:00.0638958","00:00:00.1724833","00:00:00.1085875",,
"amfid","336","0","0","0","0","0","/usr/libexec/amfid","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3168","0",,"False",,,"336",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"336",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (amfid)","0","","True","amfid",,,,,
"AMPDeviceDiscoveryAgent","1","0","437209137152","4423680","0","0","/System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent","",,,"0.1028291",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3208","0",,"False","10/09/2025 11:53:14 AM",,"850",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","437209137152","-877527040","False",,,,"4423680","4423680",,"System.Diagnostics.ProcessModule (AMPDeviceDiscoveryAgent)","0","","True","AMPDeviceDiscoveryAgent","00:00:00.0530708","00:00:00.1028291","00:00:00.0497583",,
"amsaccountsd","1","0","437202698240","11255808","0","0","/System/Library/PrivateFrameworks/AppleMediaServices.framework/Versions/A/Resources/amsaccountsd","",,,"0.2332666",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3248","0",,"False","10/09/2025 11:53:14 AM",,"879",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","437202698240","-883965952","False",,,,"11255808","11255808",,"System.Diagnostics.ProcessModule (amsaccountsd)","0","","True","amsaccountsd","00:00:00.0999416","00:00:00.2332666","00:00:00.1333208",,
"amsengagementd","1","0","437202583552","13418496","0","0","/System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd","",,,"0.2795791",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3288","0",,"False","10/09/2025 11:53:08 AM",,"738",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","437202583552","-884080640","False",,,,"13418496","13418496",,"System.Diagnostics.ProcessModule (amsengagementd)","0","","True","amsengagementd","00:00:00.1143125","00:00:00.2795791","00:00:00.1652625",,
"amsondevicestoraged","1","0","437200535552","12746752","0","0","/System/Library/PrivateFrameworks/OnDeviceStorage.framework/Support/amsondevicestoraged","",,,"0.1878",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3328","0",,"False","10/09/2025 11:53:39 AM",,"1384",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1",,"System.Diagnostics.ProcessThreadCollection","0","437200535552","-886128640","False",,,,"12746752","12746752",,"System.Diagnostics.ProcessModule (amsondevicestoraged)","0","","True","amsondevicestoraged","00:00:00.0748166","00:00:00.1878000","00:00:00.1129791",,
"analyticsd","405","0","0","0","0","0","/System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3368","0",,"False",,,"405",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"405",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (analyticsd)","0","","True","analyticsd",,,,,
"aned","979","0","0","0","0","0","/usr/libexec/aned","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3404","0",,"False",,,"979",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"979",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (aned)","0","","True","aned",,,,,
"aneuserd","1000","0","0","0","0","0","/usr/libexec/aneuserd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3444","0",,"False",,,"1000",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"1000",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (aneuserd)","0","","True","aneuserd",,,,,
